87399,Mário Sérgio,293,2
87400,Alex,283,3
87401,Eurico,283,4
87420,Cristaldo,275,5
87585,Mailson,315,5
87611,Tiago,284,1
87741,Joelinton,292,5
87742,Neto,292,4
87743,Léo,292,4
87746,Luizinho Vieira,288,6
87747,Yago,316,4
87935,Cristiano,288,5
87999,Gustavo Scarpa,266,4
88000,Gabriel Ramos,265,4
88002,Serginho,277,4
88054,Diogo Sodré,294,4
88056,Malcom,264,5
88064,Marcos Vinícius,282,5
88065,Jorge,262,2
88069,Leonardo Cabeça,315,5
88075,Jeam,265,5
88132,Nailson,277,3
88146,Maranhão,294,4
88147,Paulo Henrique,290,1
88156,Jean,316,1
88166,Felipe Caldeira,316,4
88224,Paulo Ricardo,277,3
88225,Daniel Guedes ,277,2
88323,Ángel Romero,264,5
88366,Martín Luque,285,4
88367,Chico,275,5
88368,Gabriel Dias,275,3
88478,Darlan,287,4
88479,Walace,284,4
88480,Ronan,284,5
88538,Wilson Vaterkemper,288,6
88540,Auro,276,2
88617,Carlos Amadeu,287,6
88651,Vinícius,263,5
88670,Hyago,292,3
88671,Guilherme,292,4
88686,Leandro Ávila,293,6
88717,Celso Rodrigues,315,6
88780,Leandro,285,5
88782,Andrew,288,5
88848,Júnior Oliveira,316,1
88849,João Gabriel ,263,4
88850,Marco Damasceno ,293,5
88866,Eduardo Junior,275,4
88867,Guido,265,1
88874,Léo Cunha,275,2
88898,André Jardine,284,6
88899,Charles Fabian,265,6
88915,Douglas ,294,5
88916,Luan Polli ,316,1
88917,Murilo Henrique,290,4
88933,Bruno Paulista,265,4
88987,Bruno Correa,263,5
89100,Éder Bastos,287,6
89154,Gabriel Fernando,275,5
89156,Nathan,275,3
89157,Guilherme,275,2
89190,Judivan ,283,5
89224,Barreto,288,4
89226,Iago,288,3
89227,Balbino,284,4
89253,Andreazzi,263,4
89256,Gerson,266,4
89257,Breno,266,2
89258,Daniel,262,1
89273,João Pedro ,275,2
89275,William,285,4
89285,Matheus Sales,275,4
89306,Paulinho,282,4
89341,Nicolas Careca,284,5
89342,Caju,277,2
89343,Júnior,284,2
89371,Rômulo,265,4
89444,Hugo Ragelli,283,5
89445,Yuri,315,5
89466,Horácio,292,4
89467,Erick Samuel,284,4
89468,Erik,284,5
89479,Gustavo Tocantins,264,5
89492,Saulo,263,1
89493,Igor Rabello,263,3
89494,Leandro Vicentin,292,3
89606,Felipe Saturnino,290,2
89637,Thiago Maia,277,4
89676,Nickson,287,4
89677,Fernandinho,275,4
89681,Mateus Muller,275,2
89694,James Dean,292,5
